Unnamed: 0,date,temp,prec,sun,snow,humi,temp_s,prec_s,sun_s,snow_s,humi_s,Broc
0,2022/1/1,-1.65,2.5625,5.3125,18.0,70.0,1.4891272611835429,4.4821695360617495,3.44544536308443,5.952940449895329,35.68262882692361,908
1,2022/1/2,1.9375,0.625,6.999999999999999,0.0,61.5,1.399051017654467,0.739509972887452,1.6948451256678292,0.0,31.03123426484999,908
2,2022/1/3,1.3625,0.125,7.212499999999999,0.0,68.75,1.4721901201950789,0.2165063509461096,2.056354480628279,0.0,35.106756828280226,908
3,2022/1/4,-0.5375,3.3125,1.8375,10.0,84.0,1.2727308238586823,2.5852647349933044,2.893068224221475,3.307189138830738,42.868986458744274,908
4,2022/1/5,-1.55,0.25,7.1875,3.0,66.75,1.7993054215446584,0.5,1.4269175694482148,0.9921567416492216,34.34362204252778,908
5,2022/1/6,-2.8,0.0,5.175,0.0,74.0,2.578274616870748,0.0,1.4762706391444624,0.0,37.653021127128696,908
6,2022/1/7,-0.475,0.125,4.4875,3.0,68.25,1.513068075137401,0.3307189138830738,2.6848824462162213,0.9921567416492216,34.55227018590819,908
7,2022/1/8,0.7000000000000001,0.0,8.3375,0.0,72.75,1.2155245781143218,0.0,0.6323319934970868,0.0,36.53401668308592,908
8,2022/1/9,1.8625,0.0,4.3625,0.0,77.0,2.26381177441942,0.0,2.6338837768588044,0.0,39.13118960624632,908
9,2022/1/10,2.3875,0.0,6.425,0.0,68.75,1.5036933696734849,0.0,1.882651056356435,0.0,34.54684319876419,908
10,2022/1/11,0.6625,10.8125,0.0,5.0,91.75,2.139472773839387,3.578909575555102,0.0,1.653594569415369,45.9903182746108,908
11,2022/1/12,0.55,1.3125,3.850000000000001,2.0,70.75,1.886796226411321,1.539835624344365,2.21641602593015,0.6614378277661477,36.30749750395915,908
12,2022/1/13,0.825,0.25,3.8,2.0,70.0,1.4446020213193669,0.5,1.0977249200050077,0.6614378277661477,35.37654590261746,908
13,2022/1/14,-0.1624999999999999,0.5,5.0625,6.0,65.5,1.596040021428034,0.9013878188659972,2.99622157892236,1.984313483298443,33.51398961627815,908
14,2022/1/15,2.5625000000000004,0.0,3.35,0.0,57.0,1.5459119476865426,0.0,2.01059692628831,0.0,28.792360097775937,908
15,2022/1/16,2.125,0.0,6.7625,0.0,69.5,1.8565761497983324,0.0,2.105906871160261,0.0,34.802119188348286,908
16,2022/1/17,2.2375,0.125,6.575,2.0,69.75,1.557190980580096,0.3307189138830738,1.6029270101910442,0.6614378277661477,35.58945595257112,908
17,2022/1/18,-1.3000000000000005,2.4375,4.0,12.0,76.5,1.8887826767524103,1.911110606427582,2.543619468395381,3.968626966596886,39.388291407472856,908
18,2022/1/19,0.1374999999999999,0.0,5.187500000000001,0.0,72.0,1.7542359447919198,0.0,1.115165346484547,0.0,36.50684867254362,908
19,2022/1/20,-0.6625000000000001,1.3125,5.4375,11.0,76.75,1.864763724979656,1.3678792892649556,1.9697318980003344,3.637908052713812,39.17249513370319,908
20,2022/1/21,-1.2375,0.3125,5.324999999999999,0.0,74.0,1.86342259028917,0.6584783595532961,1.8205425015637509,0.0,37.88469347902923,908
21,2022/1/22,0.7625,0.0,3.925,0.0,72.25,1.2185416488573546,0.0,3.1283981524096323,0.0,36.41578469565087,908
22,2022/1/23,2.1875,0.0,6.125,0.0,70.25,1.2790988038458952,0.0,1.145371118895531,0.0,35.204536284405165,908
23,2022/1/24,2.2750000000000004,0.0,4.475,0.0,64.0,1.5904008928568925,0.0,2.6752336346569807,0.0,32.38440982942255,908
24,2022/1/25,0.6875,0.0,8.487499999999999,0.0,65.5,1.2149459864537189,0.0,0.6009107670860959,0.0,32.91940916845258,908
25,2022/1/26,2.675,0.1875,4.9625,0.0,79.5,0.6905613658466568,0.3479852726768763,1.8336694767596475,0.0,39.85834291588149,908
26,2022/1/27,2.6875,0.0,4.95,0.0,64.5,1.336448184554867,0.0,3.1894356867634124,0.0,32.575872973720905,908
27,2022/1/28,1.4125,0.0,6.275,1.0,63.0,1.5267919799370182,0.0,1.6588776326179098,0.3307189138830738,32.14031735997639,908
28,2022/1/29,1.1375,0.0,4.949999999999999,0.0,66.0,1.7131385670750627,0.0,1.8587630295441109,0.0,33.55219813961524,908
29,2022/1/30,0.375,0.0625,5.3875,0.0,64.0,1.5904008928568922,0.1653594569415369,1.4538203981235096,0.0,32.67644411498901,908
30,2022/1/31,0.075,0.0,4.362500000000001,0.0,60.5,1.5196627915429133,0.0,2.877471763545213,0.0,31.31593045081049,908
31,2022/2/1,1.5125000000000002,0.75,8.825,2.0,60.75,1.5136359370733767,1.0,0.9730750228014284,0.6614378277661477,30.858295076040736,908
32,2022/2/2,0.9625,0.625,7.675,1.0,70.5,1.7348901262039622,0.81967981553775,1.2366790206031637,0.3307189138830738,35.960916284210555,908
33,2022/2/3,0.925,0.0,3.85,0.0,76.0,1.402453207775575,0.0,1.854049621773916,0.0,38.61023180453596,908
34,2022/2/4,-0.0874999999999999,0.0,3.925,0.0,65.25,1.825128420139252,0.0,2.218529918662356,0.0,33.54078673794042,908
35,2022/2/5,-1.4875,1.0625,7.050000000000001,4.0,68.75,1.492009969805832,1.3331705629813464,1.95,1.3228756555322954,35.07113307265678,908
36,2022/2/6,-1.7625,0.125,7.9125,6.0,66.25,1.4840295650693751,0.3307189138830738,1.505355024570616,1.984313483298443,34.04936673419933,908
37,2022/2/7,-0.1999999999999999,0.0,6.487499999999999,1.0,58.75,1.3462912017836262,0.0,2.024498394664713,0.3307189138830738,29.71925932791731,908
38,2022/2/8,1.5625,0.0,5.425,0.0,63.5,1.360089611018333,0.0,1.265652005884714,0.0,32.06536293261001,908
39,2022/2/9,1.6375,0.0,9.45,0.0,62.25,1.5024459224877278,0.0,0.5656854249492381,0.0,31.4540835981594,908
40,2022/2/10,0.175,5.0,0.0,2.0,89.5,1.3235841491949047,3.259601202601325,0.0,0.6614378277661477,44.91032732011647,908
41,2022/2/11,0.4875,1.8125,5.4,1.0,84.25,1.3004206050351557,1.5194057226429023,1.6837458240482734,0.3307189138830738,42.30377494976069,908
42,2022/2/12,0.8125,0.0,8.412500000000001,0.0,75.25,1.2790988038458957,0.0,0.4858947931394204,0.0,37.682680040039614,908
43,2022/2/13,3.0875,1.125,4.75,0.0,73.0,1.2771428072067743,2.6190408549696205,0.7365459931328117,0.0,37.275997639231605,908
44,2022/2/14,1.6875,0.3125,7.9375,0.0,64.25,1.4347800354061246,0.8267972847076845,0.4525966747557917,0.0,32.63218311728469,908
45,2022/2/15,1.1,0.0625,0.2,0.0,84.0,1.3,0.1653594569415369,0.2179449471770336,0.0,42.10403781111736,908
46,2022/2/16,2.725,0.0,7.2875,0.0,66.5,1.5473768125443783,0.0,1.298496726988559,0.0,33.6851228289285,908
47,2022/2/17,0.7625,0.125,5.0125,1.0,61.0,1.4915910129790944,0.2165063509461096,1.648815862975608,0.3307189138830738,31.11269837220809,908
48,2022/2/18,1.1875,0.6875,6.8375,0.0,71.25,0.8752678161568607,0.4960783708246107,0.8499080832654788,0.0,35.76289103246548,908
49,2022/2/19,1.6375,5.1875,1.05,1.0,79.0,0.6927075501248705,0.8637671850678283,0.5766281297335398,0.3307189138830738,39.55376088313221,908
50,2022/2/20,1.725,8.0,1.9375,3.0,85.5,1.413108276106258,4.430011286667337,1.5288373850740309,0.9921567416492216,42.87408891160254,908
51,2022/2/21,-2.0625,2.5,3.725,25.0,68.5,1.3037805605238943,4.408798022137099,2.313952246698276,8.267972847076846,34.94907008777201,908
52,2022/2/22,-1.9000000000000004,1.3125,3.0250000000000004,6.0,74.25,1.5866631652622432,1.618979230873577,3.080077109424373,1.984313483298443,38.34200535965744,908
53,2022/2/23,-1.4625,0.375,5.3875,4.0,67.0,1.557190980580096,0.6959705453537527,2.8024264040291937,1.3228756555322954,34.23448553724738,908
54,2022/2/24,0.5375,0.0,7.675000000000001,0.0,61.75,1.3275329562764158,0.0,2.014789070845879,0.0,31.166638814604312,908
