date,temp,Broc
2022/1/1,2.3,1240
2022/1/2,4.18,1240
2022/1/3,5.1,1240
2022/1/4,5.94,1240
2022/1/5,4.14,1240
2022/1/6,1.1800000000000002,1240
2022/1/7,3.0,1240
2022/1/8,4.94,1240
2022/1/9,7.220000000000001,1240
2022/1/10,7.76,1240
2022/1/11,6.42,1240
2022/1/12,5.119999999999999,1240
2022/1/13,4.9,1240
2022/1/14,4.18,1240
2022/1/15,4.64,1240
2022/1/16,6.0200000000000005,1240
2022/1/17,6.5200000000000005,1240
2022/1/18,4.279999999999999,1240
2022/1/19,3.4799999999999995,1240
2022/1/20,3.4,1240
2022/1/21,2.94,1240
2022/1/22,3.98,1240
2022/1/23,4.880000000000001,1240
2022/1/24,6.68,1240
2022/1/25,4.26,1240
2022/1/26,6.0,1240
2022/1/27,6.44,1240
2022/1/28,6.419999999999999,1240
2022/1/29,5.779999999999999,1240
2022/1/30,5.06,1240
2022/1/31,5.06,1240
2022/2/1,5.9,1240
2022/2/2,5.66,1240
2022/2/3,5.6,1240
2022/2/4,4.720000000000001,1240
2022/2/5,3.6599999999999993,1240
2022/2/6,2.2,1240
2022/2/7,4.04,1240
2022/2/8,5.6,1240
2022/2/9,5.959999999999999,1240
2022/2/10,2.96,1240
2022/2/11,4.86,1240
2022/2/12,5.02,1240
2022/2/13,3.8,1240
2022/2/14,3.92,1240
2022/2/15,6.6,1240
2022/2/16,6.68,1240
2022/2/17,4.52,1240
2022/2/18,6.18,1240
2022/2/19,5.4,1240
2022/2/20,6.26,1240
2022/2/21,4.620000000000001,1240
2022/2/22,4.36,1240
2022/2/23,4.4,1240
2022/2/24,4.6,1240
2022/2/25,5.5,1240
2022/2/26,8.580000000000002,1240
2022/2/27,10.64,1240
2022/2/28,8.559999999999999,1240
2022/3/1,10.900000000000002,1240
2022/3/2,11.06,1240
2022/3/3,9.86,1240
2022/3/4,8.440000000000001,1240
2022/3/5,11.64,1240
2022/3/6,8.52,1240
2022/3/7,7.720000000000001,1240
2022/3/8,7.0200000000000005,1240
2022/3/9,8.559999999999999,1240
2022/3/10,9.2,1240
2022/3/11,11.78,1240
2022/3/12,13.24,1240
2022/3/13,14.580000000000002,1240
